序号,人群,问题分类,问题名称,原理,方法名称,三字经,方法详情,附件,老年人适用时间段,高精质适用时间段,未孕女性适用时间段,"备孕女性
适用时间段","待产女性
适用时间段","产后女性
适用时间段","已育女性
适用时间段"
488,,整体,减肥塑形,\t专家认为开怀大笑1分钟相当于运动45分钟。,大笑,"开怀笑，同运动，
减脂肪，精神悦。",\t坚持每天纵情大笑1-2分钟，能起到意想不到的减肥效果。,/photo/weixiao.jpg,,,,,休闲1,,
489,,整体,减肥塑形,\t吹气球法利用吸气和吹气，使胃产生饱足感，从而抑制大脑中的饥饿中枢，降低食欲，减少食物的摄入，以达到减肥的目的。吹气时，胸、腹、膈肌等处的肌肉都会参与运动，增加热量的消耗，从而减少脂肪的堆积,吹气球,吹气球，降食欲，消热量，减脂肪。,\t每天向气球里吹气，坚持一个月体重就会显著地下降。该法在饭前1小时进行效果较好。,/photo/chuiqiqiu.jpg,,,,,休闲2（周末）,,
490,,整体,减肥塑形,\t休闲运动可调整中枢神经系统功能，增强新陈代谢，强身健体，纤体塑形，愉悦心情。,逛街,促代谢，强身体，塑纤体，愉情绪。,\t逛街是一种很好的有氧运动，即让你在你不知不觉中锻炼了身体，减肥消脂，又愉悦了心情。,/photo/guangjie.jpg,,,,,休闲3,,
491,,整体,减肥塑形,\t休闲运动可调整中枢神经系统功能，增强新陈代谢，强身健体，纤体塑形，愉悦心情。,做家务,促代谢，强身体，塑纤体，愉情绪。,\t花些时间打扫或整理房间，花费一定的体力和心思，不仅给人一种耳目一新的感觉，还可以消耗大量热量，轻松甩掉脂肪。,/photo/zuojiawu.jpg,,,,,休闲1,,
492,,头发,白发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，适当的给自己放松，能有效的缓解情绪，放松情绪对白发、脱发症也能起到很好的改善和预防。,郊游,消紧张，缓压力，松身心，生乌发。,\t在大自然的怀抱里享受自然的山水风光，领略自然界的美景，必然能使心胸开阔，舒畅坦荡。,/photo/jiaoyou.jpg,,,,,休闲1,,
493,,头发,白发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，适当的给自己放松，能有效的缓解情绪，放松情绪对白发、脱发症也能起到很好的改善和预防。,唱歌,消紧张，缓压力，松身心，生乌发。,\t唱歌、唱戏时大脑释放的激素，能促进身心愉快，提高免疫能力，是最好的“保健药”。,/photo/changge1.jpg,,,,,休闲1,,
494,,头发,白发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，适当的给自己放松，能有效的缓解情绪，放松情绪对白发、脱发症也能起到很好的改善和预防。,读书,消紧张，缓压力，松身心，生乌发。,\t读书、看杂志可以说是最简单、消费最低的放松的方式，抛开所有烦恼，沉浸在书的世界，不仅可以放松身心，还可以使人增加知识和乐趣。,/photo/kanshu.jpg,,,,,休闲1,,
495,,头发,白发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，适当的给自己放松，能有效的缓解情绪，放松情绪对白发、脱发症也能起到很好的改善和预防。,做手工,消紧张，缓压力，松身心，生乌发。,\t在做手工时需要聚精会神、专心致志，可排除杂念和消除不良情绪，净化人的心灵，产生愉悦、乐观的精神状态。,/photo/zuoshougong1.jpg,,,,,休闲2,,
496,,头发,白发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，适当的给自己放松，能有效的缓解情绪，放松情绪对白发、脱发症也能起到很好的改善和预防。,涂鸦,消紧张，缓压力，松身心，生乌发。,\t给结构复杂的图形图上自己喜欢的颜色，全身心的投入到色彩的时候，就能接近冥想的状态，内心就会变得简单而单纯。,/photo/tuya.jpg,,,,,休闲4,,
497,,头发,脱发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，经常参加感兴趣的休闲娱乐活动，消除精神疲劳，放松心态，对脱发症能起到很好的改善和预防。,绘画,陶性情，消疲劳，松身心，缓脱发。,\t研究表明，人在绘画时心跳、血压、呼吸等生理活动降低，心理得到净化，负性情绪得以改善。,/photo/huihua.jpg,,,,,休闲1,,
498,,头发,脱发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，经常参加感兴趣的休闲娱乐活动，消除精神疲劳，放松心态，对脱发症能起到很好的改善和预防。,涂鸦,陶性情，消疲劳，松身心，缓脱发。,\t给结构复杂的图形图上自己喜欢的颜色，全身心的投入到色彩的时候，就能接近冥想的状态，内心就会变得简单而单纯。,/photo/tuya.jpg,,,,,休闲4,,
499,,头发,脱发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，经常参加感兴趣的休闲娱乐活动，消除精神疲劳，放松心态，对脱发症能起到很好的改善和预防。,练书法,陶性情，消疲劳，松身心，缓脱发。,\t练书法不仅能带来生理状态的松弛，也能帮助心理状态的宁静，有助于排除不良因素的干扰，达到养心安神、调节平衡的作用。,/photo/gangbizi.jpg,,,,,休闲3,,
500,,头发,脱发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，经常参加感兴趣的休闲娱乐活动，消除精神疲劳，放松心态，对脱发症能起到很好的改善和预防。,插花,陶性情，消疲劳，松身心，缓脱发。,\t插花是一种很好的修身养性之道，插花时讲究心平气和，神态专注，举止文明、优雅， 提高精神文化素质和艺术修养、陶冶情操的同时，还可美化生活，增加情趣。,/photo/chahua.jpg,,,,,休闲1,,
501,,头发,脱发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，经常参加感兴趣的休闲娱乐活动，消除精神疲劳，放松心态，对脱发症能起到很好的改善和预防。,烹饪,陶性情，消疲劳，松身心，缓脱发。,\t不但能充实生活，增长自己的菅养知识和烹饪技巧，还能为家人带来健康和美的享受。,/photo/pengren.jpg,,,,,休闲2（周末）,,
502,,头发,脱发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，经常参加感兴趣的休闲娱乐活动，消除精神疲劳，放松心态，对脱发症能起到很好的改善和预防。,做手工,陶性情，消疲劳，松身心，缓脱发。,\t在做手工时需要聚精会神、专心致志，可排除杂念和消除不良情绪，净化人的心灵，产生愉悦、乐观的精神状态。,/photo/zuoshougong1.jpg,,,,,休闲3,,
503,,皮肤,皮肤暗黄,\t保持愉快乐观的精神，不但可以远离疾病，而且容颜可以变得靓丽许多。,开怀大笑,开怀笑，心情好，防疾病，靓容颜。,\t微笑的时候，大脑中会释放具有阵痛作用的激素—内啡肽，即便不是发自内心的微笑，做出笑的表情同样能起到平缓情绪的效果。,/photo/daxiao.jpg,,,,,休闲1,,
504,,精神,精气神,\t用微笑铸造精气神。,微笑,常微笑，心情好，缓压力，精神足。,\t医学研究表明，笑可以刺激人体分泌多巴胺，使人产生欣喜和欢乐感，可以起到缓解压力，释放精神的作用。,/photo/daxiao.jpg,,,,,休闲1,,
505,,精神,精气神,\t培养广泛的兴趣爱好，不仅增加生活情趣，还能修身养性、陶冶情操、养心怡神。,练书法,培兴趣，增情趣，陶情操，养心神。,\t练习书法过程中，陶冶性情的同时还能锻炼身体。当完成一幅满意的作品，会产生一种成功喜悦之感，有益身心健康。,/photo/lainshufa.jpg,,,,,休闲2（周末）,,
506,,精神,精气神,\t培养广泛的兴趣爱好，不仅增加生活情趣，还能修身养性、陶冶情操、养心怡神。,插花,培兴趣，增情趣，陶情操，养心神。,\t插花是一种很好的修身养性之道，插花时讲究心平气和，神态专注，举止文明、优雅， 提高精神文化素质和艺术修养、陶冶情操的同时，还可美化生活，增加情趣。,/photo/chahua.jpg,,,,,休闲3,,
507,,精神,精气神,\t培养广泛的兴趣爱好，不仅增加生活情趣，还能修身养性、陶冶情操、养心怡神。,唱歌,培兴趣，增情趣，陶情操，养心神。,\t唱歌、唱戏时大脑释放的激素，能促进身心愉快，提高免疫能力，是最好的“保健药”。,/photo/changge1.jpg,,,,,休闲1,,
508,,精神,精气神,\t培养广泛的兴趣爱好，不仅增加生活情趣，还能修身养性、陶冶情操、养心怡神。,养花草,培兴趣，增情趣，陶情操，养心神。,\t花草是一种恬静、美好的生命，在养殖的过程中，需要定期给他们浇浇水、剪剪枝、换换土，对我们来说就是一套“韵律操”，对身心都有益。,/photo/yanghuacao.jpg,,,,,休闲1（周末）,,
509,,精神,精气神,\t读书能增长知识，陶冶性情，找到精神寄托。医学专家认为无论阅读或朗诵，都有增强肺功能之效，且能活跃思维，是一种健身强脑的"良药"。,读书,常读书，获知识，增情趣，愉身心。,\t读书可以说是最简单、消费最低的放松的方式，抛开所有烦恼，沉浸在书的世界，不仅可以放松身心，还可以使人增加知识和乐趣。,/photo/kanshu.png,,,,,休闲4,,
510,,精神,精气神,"\t书画与太极拳有相通之处,与气功有异曲同工之效。欣赏时需心平气静，使大脑“入静”，具有静心养性，延年益寿的功效。",欣赏书法,赏书画，同太极，使入静，养心神。,"\t好的书法可以赏心悦目,给人以美的享受，令人在其中，心境也会随之得到一种超然与净化，使心情舒畅，达到养生的效果。",/photo/shufa.jpg,,,,,休闲1（周末）,,
511,,精神,精气神,"\t书画与太极拳有相通之处,与气功有异曲同工之效。欣赏时需心平气静，使大脑“入静”，具有静心养性，延年益寿的功效。",赏画,赏书画，同太极，使入静，养心神。,\t赏画除了能开阔心胸和眼界、调节心情、减少烦躁和焦虑外，还可通过欣赏绘画作品的特点和画技，增强人大脑的活跃度，益智延年。,/photo/huazhan.jpg,,,,,休闲2（周末）,,
512,,精神,自卑感,\t利用积极的言语、行为进行自我暗示，是用心理学中的潜意识来训练自己重拾自信的好方法。,言语暗示,常暗示，正能量，塑自信，效果佳。,\t将头慢慢向后转，然后向前，直到你的下颌贴到你的胸前；先将你的下颌松弛—下，并摇头1钟，接着抬起头，将两手掌放置在面颊上并将头尽量向后转数秒钟。之后直起头对着镜子看自己，同时给面部肌肉一些肯定的暗示：“我是最棒的，我接纳自己。”,/photo/yanyuanshi.jpg,,,,,休闲1,,
513,,精神,自卑感,\t利用积极的言语、行为进行自我暗示，是用心理学中的潜意识来训练自己重拾自信的好方法。,行为暗示,常暗示，正能量，塑自信，效果佳。,\t抬头挺胸快速走路，会给自己一个提示：我是一个重要的人，要去做重要的事情。这种提示会给自己一种心理暗示，帮助自己建立起超凡的信心。,/photo/xingweianshi.jpg,,,,,休闲1,,
514,,精神,自卑感,\t写日记是一个很好的发泄渠道。美国国立卫生院调查显示，写日记可减轻心理压力。,写日记,写日记，易发泄，减压力，助分析。,\t当产生不开心的事情时，通过把心情写在日记里，可以宣泄不良情绪，也有助于分析事情的前因后果。,/photo/xieriji.jpg,,,,,休闲2,,
515,,精神,自卑感,\t微笑能给人自信，它是医治信心不足的良药。,微笑,常微笑，缓情绪，减痛苦，信心足。,\t微笑的时候，大脑中会释放具有阵痛作用的激素—内啡肽，即便不是发自内心的微笑，做出笑的表情同样能起到平缓情绪的效果。,/photo/daxiao.jpg,,,,,休闲1,,
516,,精神,自卑感,\t美国心理学家表示，照镜子能给人信心。,照镜子,常照镜，眉眼笑，多鼓励，有信心。,\t闲暇时，不妨多照照镜子，看着自己的眼睛，微笑地告诉自己“你看上去真棒”，或想开心的事，体会与心灵对话的美好感觉。,/photo/zhaojingzi.jpg,,,,,休闲2,,
517,,精神,自卑感,\t多做开阔心身的活动，当人积累了足够多的积极的行动之后，人也会自觉的变得积极起来，消极的情绪自然会得到舒缓。,阅读,多活动，常积累，变积极，排消极。,\t读书可以说是最简单、消费最低的放松的方式，抛开所有烦恼，沉浸在书的世界，不仅可以放松身心，还可以使人增加知识和乐趣。,/photo/kanshu.jpg,,,,,休闲4,,
518,,精神,自卑感,\t多做开阔心身的活动，当人积累了足够多的积极的行动之后，人也会自觉的变得积极起来，消极的情绪自然会得到舒缓。,唱歌,多活动，常积累，变积极，排消极。,\t唱歌时大脑释放的激素，能促进身心愉快，提高免疫能力，是最好的“保健药”。,/photo/changge11.jpg,,,,,休闲3,,
519,,精神,自卑感,\t多做开阔心身的活动，当人积累了足够多的积极的行动之后，人也会自觉的变得积极起来，消极的情绪自然会得到舒缓。,练书法,多活动，常积累，变积极，排消极。,\t练书法不仅能带来生理状态的松弛，也能帮助心理状态的宁静，有助于排除不良因素的干扰，达到养心安神、调节平衡的作用。,/photo/gangbizi.jpg,,,,,休闲1,,
520,,精神,自卑感,\t多做开阔心身的活动，当人积累了足够多的积极的行动之后，人也会自觉的变得积极起来，消极的情绪自然会得到舒缓。,涂鸦,多活动，常积累，变积极，排消极。,\t给结构复杂的图形图上自己喜欢的颜色，全身心的投入到色彩的时候，就能接近冥想的状态，内心就会变得简单而单纯。,/photo/tuya.jpg,,,,,休闲4,,
521,,精神,自卑感,\t多做开阔心身的活动，当人积累了足够多的积极的行动之后，人也会自觉的变得积极起来，消极的情绪自然会得到舒缓。,看电影,多活动，常积累，变积极，排消极。,\t电影能牵动人的情绪，其中的情节可令人产生共鸣，甚至能帮助人解开心中的郁结，疗愈一直隐藏在心底的创伤。,/photo/kandianying1.jpg,,,,,休闲3,,
522,,精神,自卑感,\t多做开阔心身的活动，当人积累了足够多的积极的行动之后，人也会自觉的变得积极起来，消极的情绪自然会得到舒缓。,做手工,多活动，常积累，变积极，排消极。,\t在做手工时需要聚精会神、专心致志，可排除杂念和消除不良情绪，净化人的心灵，产生愉悦、乐观的精神状态。,/photo/zuoshougong1.jpg,,,,,休闲4,,
523,,精神,自卑感,\t休闲运动能帮助我们在娱乐的同时达到运动的效果，坚持锻炼，不仅能强身健体、纤体塑形、排毒养颜，还能增强自信，培养乐观积极的情绪状态。,游泳,常运动，强身体，心情悦，增信心。,\t一旦进入水中，就一心一意享受着水带来的乐趣，将一切烦恼抛到一边，会感到情绪高涨、精力充沛。,/photo/youyong.jpg,,,,,休闲2（周末）,,
524,,精神,自卑感,\t休闲运动能帮助我们在娱乐的同时达到运动的效果，坚持锻炼，不仅能强身健体、纤体塑形、排毒养颜，还能增强自信，培养乐观积极的情绪状态。,逛街,常运动，强身体，心情悦，增信心。,\t逛街是一种很好的有氧运动，即让你在你不知不觉中锻炼了身体，又愉悦了心情。,/photo/guangjie.jpg,,,,,休闲3,,
525,,精神,孤独感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,烹饪,陶性情，消抑郁，心愉悦，燃热情。,\t不但能充实生活，增长自己的菅养知识和烹饪技巧，还能为家人带来健康和美的享受。,/photo/pengren.jpg,,,,,休闲2（周末）,,
526,,精神,孤独感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,读书,培兴趣，陶怡情，消抑郁，心愉悦。,\t读书能增长知识，陶冶性情，找到精神寄托。悉心捧读一本好书，自可领略书中深邃的意境，实属妙不可言。医学专家认为无论阅读或朗诵，都有增强肺功能之效，且能活跃思维，是一种健身强脑的"良药"。,/photo/kanshu.jpg,,,,,休闲3,,
527,,精神,孤独感,\t约上有几个知心朋友，大家聚一聚，一壶清茶、一杯咖啡，谈谈自己的最近生活和变化。,会旧友,会旧友，谈变化，心减负，得感悟。,\t和旧友会面，聊聊天，说说各自的变化，给心灵来个“减负”，有时还会从交流中得到不少人生感悟。,/photo/huijiuyou.jpg,,,,,休闲1（周末）,,
528,,精神,空虚感,\t培养广泛的兴趣爱好，使生活充实起来，能陶冶性情、消除抑郁、保持心情愉悦。,赏画,培兴趣，使充实，消抑郁，愉身心。,\t赏画除了能开阔心胸和眼界、调节心情、减少烦躁和焦虑外，还可通过欣赏绘画作品的特点和画技，增强人大脑的活跃度，起到一定预防痴呆的作用。,/photo/huazhan.jpg,,,,,休闲2（周末）,,
529,,精神,空虚感,\t培养广泛的兴趣爱好，使生活充实起来，能陶冶性情、消除抑郁、保持心情愉悦。,练书法,培兴趣，使充实，消抑郁，愉身心。,\t练习书法过程中，陶冶性情的同时还能锻炼身体。当完成一幅满意的作品，会产生一种成功喜悦之感，有益身心健康。,/photo/lianshufa.jpg,,,,,休闲1,,
530,,精神,空虚感,\t培养广泛的兴趣爱好，使生活充实起来，能陶冶性情、消除抑郁、保持心情愉悦。,绘画,培兴趣，使充实，消抑郁，愉身心。,\t书画是一种高尚的爱好和兴趣，它们都有着形象美、情境美和笔端墨趣，可供欣赏和享受。它可以陶冶人的感情，可以使人的业余时间、老年生活更允实，更有意义。,/photo/huihua.jpg,,,,,休闲3,,
531,,精神,空虚感,\t培养广泛的兴趣爱好，使生活充实起来，能陶冶性情、消除抑郁、保持心情愉悦。,插花,培兴趣，使充实，消抑郁，愉身心。,\t插花是一种很好的修身养性之道，插花时讲究心平气和，神态专注，举止文明、优雅， 提高精神文化素质和艺术修养、陶冶情操的同时，还可美化生活，增加情趣。,/photo/chahua.jpg,,,,,休闲3,,
532,,精神,空虚感,\t培养广泛的兴趣爱好，使生活充实起来，能陶冶性情、消除抑郁、保持心情愉悦。,涂鸦,培兴趣，使充实，消抑郁，愉身心。,\t给结构复杂的图形图上自己喜欢的颜色，全身心的投入到色彩的时候，就能接近冥想的状态，内心就会变得简单而单纯。,/photo/tuya.jpg,,,,,休闲4,,
533,,精神,空虚感,\t出去走走看看，在欣赏大自然的美景的同时，用相机记录下来，不仅陶冶情操，愉悦心情，更重要的是从中开阔了视野和锻炼了身体，得到艺术和健康双丰收。,郊游,出门游，赏美景，身健康，心愉悦。,\t在大自然的怀抱里享受自然的山水风光，领略自然界的美景，必然能更加心胸阔，舒畅坦荡，身体健康，延年益寿。,/photo/jiaoyou.jpg,,,,,休闲1（周末）,,
534,,精神,空虚感,\t约上有几个知心朋友，大家聚一聚，一壶清茶、一杯咖啡，谈谈自己的最近生活和变化。,会旧友,会旧友，谈变化，心减负，得感悟。,\t和旧友会面，聊聊天，说说各自的变化，给心灵来个“减负”，有时还会从交流中得到不少人生感悟。,/photo/huijiuyou.jpg,,,,,休闲1（周末）,,
535,,精神,空虚感,\t读书可以说是最简单、消费最低的放松的方式，抛开所有烦恼，沉浸在书的世界，不仅可以放松身心，还可以使人增加知识和乐趣。,读书,常读书，获知识，增情趣，愉身心。,\t读书是填补空虚的良方。读书能使人找到解决问题的钥匙，使人从寂寞与空虚中解脱出来。读书越多，知识越丰富，生活也就越充实。,/photo/kanshu.jpg,,,,,休闲4,,
536,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,养花草,多参与，有趣事，乐享受，消抑郁。,\t当感到焦虑不安时，可以放下手头的工作和事情，给花草浇浇水、施施肥、剪剪枝，泥土的芬芳和花草的清香能缓解紧张和压力。,/photo/yanghuacao.jpg,,,,,休闲1,,
537,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,绘画,多参与，有趣事，乐享受，消抑郁。,\t研究表明，人在绘画时心跳、血压、呼吸等生理活动降低，心理得到净化，负性情绪得以改善。,/photo/huihua.jpg,,,,,休闲2,,
538,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,看电影,多参与，有趣事，乐享受，消抑郁。,\t电影情节能牵动人的情绪，其中的情节可令人产生共鸣，甚至能帮助人解开心中的郁结，释放心中的负面情绪。,/photo/kandianying1.jpg,,,,,休闲3,,
539,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,欣赏书画,多参与，有趣事，乐享受，消抑郁。,"\t书画可以赏心悦目,给人以美的享受，令人在其中，心境也会随之得到一种超然与净化，使心情舒畅，达到养生的效果。",/photo/shuhua.jpg,,,,,休闲2（周末）,,
540,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,唱歌,多参与，有趣事，乐享受，消抑郁。,\t唱歌时，隔阂膜的活动可以调节空气的吸入和呼出量。心情焦虑、不安时，大声唱完一首歌，心情会得到平复，负性情绪也能得到释放。,/photo/changge11.jpg,,,,,休闲1,,
541,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,涂鸦,多参与，有趣事，乐享受，消抑郁。,\t给结构复杂的图形图上自己喜欢的颜色，全身心的投入到色彩的时候，就能接近冥想的状态，内心就会变得简单而单纯。,/photo/tuya.jpg,,,,,休闲3,,
542,,精神,焦虑感,\t焦虑、不安时，头脑中会产生强烈的兴奋灶，此时不妨去做一些平时感兴趣的事，寻找一些“新颖刺激”，让新的兴奋灶冲淡或抵消原有不良情绪。,阅读,多参与，有趣事，乐享受，消抑郁。,\t读书可以说是最简单、消费最低的放松的方式，抛开所有烦恼，沉浸在书的世界，不仅可以放松身心，还可以使人增加知识和乐趣。,/photo/kanshu.jpg,,,,,休闲4,,
543,,精神,焦虑感,\t微笑的时候，大脑中会释放具有阵痛作用的激素—内啡肽，即便不是发自内心的微笑，做出笑的表情同样能起到平缓情绪的效果。,开怀大笑,开怀笑，胸扩张，促循环，消紧张。,\t笑的过程中，人的胸肌得到扩张，胸部运动加强，呼吸均匀，有利于从呼吸道排泄废物，加快血液循环，自主神经功能得到调节，有助于驱散焦虑、紧张、忧愁等不良情绪。,/photo/daxiao.jpg,,,,,休闲1,,
544,,精神,抑郁感,\t微笑的时候，大脑中会释放具有阵痛作用的激素—内啡肽，即便不是发自内心的微笑，做出笑的表情同样能起到平缓情绪的效果。,开怀大笑,开怀笑，胸扩张，促循环，消抑郁。,\t笑的过程中，人的胸肌得到扩张，胸部运动加强，呼吸均匀，有利于从呼吸道排泄废物，加快血液循环，自主神经功能得到调节，有助于驱散焦虑、紧张、忧愁等不良情绪。,/photo/daxiao.jpg,,,,,休闲1,,
545,,精神,抑郁感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,涂鸦,培兴趣，陶怡情，消抑郁，心愉悦。,\t给结构复杂的图形图上自己喜欢的颜色，全身心的投入到色彩的时候，就能接近冥想的状态，内心就会变得简单而单纯。,/photo/tuya.jpg,,,,,休闲4,,
546,,精神,抑郁感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,唱歌,培兴趣，陶怡情，消抑郁，心愉悦。,\t唱歌时大脑释放的激素，能促进身心愉快，提高免疫能力，是最好的“保健药”。,/photo/changge11.jpg,,,,,休闲3,,
547,,精神,抑郁感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,练书法,培兴趣，陶怡情，消抑郁，心愉悦。,\t书法练习可降低心率和血压活动水平，缓解焦虑和烦躁情绪，使人获得安宁、平静的情绪。研究表明，练书法可改善人们对自我控制的信心，促进无助和抑郁情绪的转变。,/photo/lainshufa.jpg,,,,,休闲1,,
548,,精神,抑郁感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,养花草,培兴趣，陶怡情，消抑郁，心愉悦。,\t花草是一种恬静、美好的生命，而且能净化空气，杀灭细菌，在养殖的过程中， 我们需要定期给他们浇浇水、剪剪枝、换换土，对我们来说就是一套“韵律操”，对身心都有益。,/photo/yanghuacao.jpg,,,,,休闲1（周末）,,
549,,精神,抑郁感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,看电影,培兴趣，陶怡情，消抑郁，心愉悦。,"\t人在心情不好的时候看喜剧电影,影片中的幽默的片段让人忘记忧郁，使自己融入其中，且幽默的语言和动作会让人笑出来，笑会使沮丧情绪消退。",/photo/kandianying1.jpg,,,,,休闲3,,
550,,精神,抑郁感,\t情感波动主要是大脑控制的，专家表示在情绪低落的时候，理发是一个不错的选择。,理发,当理发，增血量，松身心，消郁闷。,"\t人坐在椅子上的时候，整体会比显出放松舒适的状态，加上在理发的时候，大脑的皮层会受到刺激，增加脑补的血液供应量，因此会改善郁闷的心情。
",/photo/lifa.jpg,,,,,休闲2（周末）,,
551,,精神,抑郁感,\t接受适当的阳光，有助于促进钙的吸收，对舒缓郁闷情绪具有很好的效果。,晒太阳,晒太阳，宜有时，促吸收，消沮丧。,\t在夏季，日照时间可选择上午9：00-10：00，下午3：00-5：00，其他季节可延迟到10：00以后。气温过高，超过30℃时，不宜做晒太阳。,/photo/shaitaiyuang.jpg,,,,,休闲1（周末）,,
552,,整体,减肥塑形,\t兴趣减肥法是在培养喜好的同时，达到修身养性、快乐减肥的效果。,唱歌,唱着歌，跳起舞，一边乐，一边瘦。,\t减肥专家经研究发现，一个人唱完一首歌后的氧气消耗量和跑完一百米后的氧气消耗量相当，也就是说唱一首歌等于跑了一百米。而且唱歌时，隔阂膜的活动可以调节空气的吸入和呼出量，是平静情绪的好方法。,/photo/changge1.jpg,,,,,,休闲3,
553,,整体,减肥塑形,\t专家认为开怀大笑1分钟相当于运动45分钟。,大笑,"开怀笑，同运动，
减脂肪，精神悦。",\t坚持每天纵情大笑1-2分钟，能起到意想不到的减肥效果。,/photo/weixiao.jpg,,,,,,休闲1,
554,,整体,减肥塑形,\t吹气球法利用吸气和吹气，使胃产生饱足感，从而抑制大脑中的饥饿中枢，降低食欲，减少食物的摄入，以达到减肥的目的。吹气时，胸、腹、膈肌等处的肌肉都会参与运动，增加热量的消耗，从而减少脂肪的堆积,吹气球,吹气球，降食欲，消热量，减脂肪。,\t每天向气球里吹气，坚持一个月体重就会显著地下降。该法在饭前1小时进行效果较好。,/photo/chuiqiqiu.jpg,,,,,,休闲2（周末）,
555,,头发,白发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，适当的给自己放松，能有效的缓解情绪，放松情绪对白发、脱发症也能起到很好的改善和预防。,唱歌,消紧张，缓压力，松身心，生乌发。,\t唱歌时大脑释放的激素，能促进身心愉快，提高免疫能力，是最好的“保健药”。,/photo/changge1.jpg,,,,,,休闲1,
556,,头发,白发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，适当的给自己放松，能有效的缓解情绪，放松情绪对白发、脱发症也能起到很好的改善和预防。,读书,消紧张，缓压力，松身心，生乌发。,\t读书、看杂志可以说是最简单、消费最低的放松的方式，抛开所有烦恼，沉浸在书的世界，不仅可以放松身心，还可以使人增加知识和乐趣。,/photo/kanshu.jpg,,,,,,休闲4,
557,,头发,白发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，适当的给自己放松，能有效的缓解情绪，放松情绪对白发、脱发症也能起到很好的改善和预防。,做手工,消紧张，缓压力，松身心，生乌发。,\t在做手工时需要聚精会神、专心致志，可排除杂念和消除不良情绪，净化人的心灵，产生愉悦、乐观的精神状态。,/photo/zuoshougong1.jpg,,,,,,休闲3,
558,,头发,白发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，适当的给自己放松，能有效的缓解情绪，放松情绪对白发、脱发症也能起到很好的改善和预防。,涂鸦,消紧张，缓压力，松身心，生乌发。,\t给结构复杂的图形图上自己喜欢的颜色，全身心的投入到色彩的时候，就能接近冥想的状态，内心就会变得简单而单纯。,/photo/tuya.jpg,,,,,,休闲2,
559,,头发,脱发,\t紧张的情绪和过大的压力是导致白发、脱发的主要因素之一，经常参加感兴趣的休闲娱乐活动，消除精神疲劳，放松心态，对脱发症能起到很好的改善和预防。,绘画,陶性情，消疲劳，松身心，缓脱发。,\t研究表明，人在绘画时心跳、血压、呼吸等生理活动降低，心理得到净化，负性情绪得以改善。,/photo/huihua.jpg,,,,,,休闲1,
